time,x,y,z,speed,WFS,I,U,layer_id
37:45.4,406.307,799.497,37.408,0.764,3.13,106.4,11.14,2
37:45.5,407.268,799.501,37.409,0.764,4.54,122.5,11.34,2
37:45.5,408.218,799.496,37.389,0.764,4.54,122.5,11.34,2
37:45.6,408.543,799.503,37.406,0.764,4.54,122.5,11.34,2
37:45.6,409.445,799.511,37.405,0.881,4.54,122.5,11.34,2
37:45.7,409.82,799.491,37.409,0.881,4.54,122.5,11.34,2
37:45.7,410.773,799.502,37.399,0.756,5.21,129.0,12.25,2
37:45.7,411.089,799.507,37.403,0.756,5.21,129.0,12.25,2
37:45.8,412.053,799.504,37.405,0.767,5.21,129.0,12.25,2
37:45.8,412.374,799.498,37.4,0.767,5.21,129.0,12.25,2
37:45.9,413.542,799.499,37.399,0.808,5.33,130.7,12.13,2
37:46.0,414.767,799.492,37.407,0.808,5.33,130.7,12.13,2
37:46.1,415.828,799.503,37.405,0.885,5.33,130.7,12.13,2
37:46.1,416.205,799.494,37.41,0.885,5.33,130.7,12.13,2
37:46.2,417.101,799.496,37.385,0.91,5.45,130.3,12.28,2
37:46.2,417.481,799.495,37.4,0.91,5.45,130.3,12.28,2
37:46.3,418.437,799.504,37.412,0.862,5.45,130.3,12.28,2
37:46.3,418.806,799.495,37.39,0.862,5.45,130.3,12.28,2
37:46.4,419.709,799.497,37.39,0.768,5.45,130.3,12.28,2
37:46.4,420.031,799.5,37.404,0.768,5.45,130.3,12.28,2
37:46.5,421.043,799.502,37.397,0.746,5.56,131.5,12.4,2
37:46.5,421.356,799.503,37.397,0.746,5.56,131.5,12.4,2
37:46.6,422.379,799.49,37.402,0.818,5.56,131.5,12.4,2
37:46.6,422.743,799.495,37.394,0.818,5.56,131.5,12.4,2
37:46.7,423.761,799.497,37.413,0.758,5.56,131.5,12.4,2
37:46.7,424.074,799.498,37.397,0.758,6.21,139.2,12.98,2
37:46.8,425.033,799.503,37.397,0.847,6.21,139.2,12.98,2
37:46.8,425.405,799.511,37.401,0.847,6.21,139.2,12.98,2
37:46.9,426.417,799.493,37.407,0.832,6.21,139.2,12.98,2
37:46.9,426.787,799.497,37.391,0.832,6.21,139.2,12.98,2
37:47.0,427.804,799.499,37.409,0.832,6.17,138.2,12.91,2
37:47.0,428.166,799.501,37.398,0.832,6.17,138.2,12.91,2
37:47.1,429.071,799.5,37.386,0.861,6.17,138.2,12.91,2
37:47.1,429.448,799.497,37.397,0.861,6.17,138.2,12.91,2
37:47.2,430.456,799.504,37.401,0.878,6.17,138.2,12.91,2
37:47.2,430.825,799.508,37.386,0.878,6.04,138.6,13.03,2
37:47.3,431.787,799.501,37.406,0.878,6.04,138.6,13.03,2
37:47.3,432.156,799.506,37.39,0.878,6.04,138.6,13.03,2
37:47.4,433.117,799.498,37.393,0.762,6.04,138.6,13.03,2
37:47.4,433.442,799.499,37.413,0.762,6.04,138.6,13.03,2
37:47.5,434.448,799.506,37.398,0.73,6.11,139.4,13.1,2
37:47.5,434.764,799.504,37.389,0.73,6.11,139.4,13.1,2
37:47.6,435.833,799.504,37.4,0.744,6.11,139.4,13.1,2
37:47.6,436.152,799.505,37.409,0.744,6.11,139.4,13.1,2
37:47.7,436.577,799.503,37.408,0.785,6.11,139.4,13.1,2
37:47.8,438.761,799.498,37.41,0.785,5.99,136.2,12.75,2
37:47.9,440.037,799.503,37.408,0.734,5.99,136.2,12.75,2
37:47.9,440.353,799.502,37.397,0.734,5.99,136.2,12.75,2
37:48.0,441.468,799.5,37.393,0.783,6.2,139.1,13.33,2
37:48.1,442.531,799.496,37.397,0.783,6.2,139.1,13.33,2
37:48.2,443.551,799.489,37.405,0.741,6.2,139.1,13.33,2
37:48.2,443.864,799.505,37.394,0.741,6.2,139.1,13.33,2
37:48.3,444.767,799.496,37.398,0.879,6.8,142.5,13.41,2
37:48.3,445.142,799.502,37.407,0.879,6.8,142.5,13.41,2
37:48.4,446.044,799.496,37.399,0.826,6.8,142.5,13.41,2
37:48.4,446.419,799.502,37.408,0.826,6.8,142.5,13.41,2
37:48.5,447.324,799.51,37.404,0.852,6.8,142.5,13.41,2
37:48.5,447.691,799.513,37.401,0.852,6.8,142.5,13.41,2
37:48.6,448.706,799.502,37.403,0.899,6.0,139.0,12.92,2
37:48.6,449.079,799.504,37.393,0.899,6.0,139.0,12.92,2
37:48.7,449.852,799.504,37.399,0.263,6.0,139.0,12.92,2
37:48.7,449.965,799.497,37.393,0.263,6.0,139.0,12.92,2
37:48.8,450.002,799.499,37.394,0.0,6.0,139.0,12.92,2
37:48.8,450.002,799.499,37.394,0.0,6.66,139.3,13.6,2
37:48.9,450.002,799.499,37.394,0.0,6.66,139.3,13.6,2
37:48.9,450.002,799.499,37.394,0.0,6.66,139.3,13.6,2
37:49.0,450.002,799.499,37.394,0.0,6.66,139.3,13.6,2
37:49.0,450.002,799.499,37.394,0.0,6.66,139.3,13.6,2
37:49.1,450.002,799.499,37.394,0.0,4.62,109.2,12.3,2
37:49.1,450.002,799.499,37.394,0.0,4.62,109.2,12.3,2
37:49.2,450.002,799.499,37.394,0.0,4.62,109.2,12.3,2
37:49.2,450.002,799.499,37.394,0.0,4.62,109.2,12.3,2
38:07.2,449.998,799.495,39.39,0.104,7.0,124.6,13.05,3
38:07.2,449.954,799.49,39.393,0.104,2.61,2.1,0.12,3
38:07.3,449.226,799.499,39.39,1.177,2.61,2.1,0.12,3
38:07.3,448.696,799.494,39.403,1.177,2.61,2.1,0.12,3
38:07.4,447.494,799.502,39.396,0.978,2.61,2.1,0.12,3
38:07.5,446.16,799.495,39.409,0.978,2.93,107.7,10.42,3
38:07.6,444.754,799.495,39.404,1.124,2.93,107.7,10.42,3
38:07.6,444.287,799.494,39.394,1.124,2.93,107.7,10.42,3
38:07.7,443.083,799.501,39.4,1.02,2.93,107.7,10.42,3
38:07.7,441.819,799.503,39.406,1.02,5.2,123.8,12.46,3
38:07.8,440.478,799.491,39.395,1.044,5.2,123.8,12.46,3
38:07.9,440.011,799.491,39.401,1.044,5.2,123.8,12.46,3
38:07.9,438.81,799.494,39.396,1.081,5.2,123.8,12.46,3
38:08.0,438.34,799.491,39.399,1.081,5.2,123.8,12.46,3
38:08.0,437.138,799.495,39.394,0.954,5.76,132.2,12.87,3
38:08.1,436.736,799.501,39.397,0.954,5.76,132.2,12.87,3
38:08.1,435.53,799.499,39.386,1.07,5.76,132.2,12.87,3
38:08.1,435.076,799.491,39.411,1.07,5.76,132.2,12.87,3
38:08.2,433.799,799.497,39.4,1.068,5.76,132.2,12.87,3
38:08.3,433.337,799.497,39.415,1.068,5.76,132.2,12.87,3
38:08.3,432.196,799.502,39.4,0.96,6.29,137.8,13.04,3
38:08.3,431.793,799.508,39.402,0.96,6.29,137.8,13.04,3
38:08.4,430.593,799.507,39.4,0.955,6.29,137.8,13.04,3
38:08.4,430.188,799.51,39.399,0.955,6.29,137.8,13.04,3
38:08.5,428.992,799.498,39.403,0.974,6.29,137.8,13.04,3
38:08.5,428.587,799.502,39.403,0.974,6.7,142.1,13.17,3
38:08.6,427.321,799.508,39.409,0.928,6.7,142.1,13.17,3
38:08.6,426.919,799.495,39.391,0.928,6.7,142.1,13.17,3
38:08.7,425.71,799.505,39.398,1.132,6.7,142.1,13.17,3
38:08.7,425.245,799.502,39.393,1.132,6.7,142.1,13.17,3
38:08.8,424.053,799.487,39.403,0.95,6.55,144.7,12.97,3
38:08.8,423.647,799.491,39.401,0.95,6.55,144.7,12.97,3
38:08.9,422.313,799.502,39.413,0.961,6.55,144.7,12.97,3
38:08.9,421.907,799.505,39.394,0.961,6.55,144.7,12.97,3
38:09.0,420.705,799.495,39.39,0.918,6.55,144.7,12.97,3
38:09.0,420.307,799.502,39.401,0.918,6.55,144.7,12.97,3
38:09.1,419.106,799.499,39.404,1.102,6.53,142.0,13.28,3
38:09.1,418.639,799.493,39.412,1.102,6.53,142.0,13.28,3
38:09.2,417.301,799.501,39.401,0.941,6.53,142.0,13.28,3
38:09.2,416.902,799.504,39.409,0.941,6.53,142.0,13.28,3
38:09.3,415.633,799.502,39.413,0.983,6.22,137.8,13.12,3
38:09.3,415.225,799.503,39.391,0.983,6.22,137.8,13.12,3
38:09.4,414.027,799.496,39.399,1.075,6.22,137.8,13.12,3
38:09.4,413.559,799.491,39.406,1.075,6.22,137.8,13.12,3
38:09.5,412.225,799.496,39.401,0.804,6.22,137.8,13.12,3
38:09.5,411.891,799.505,39.406,0.804,6.22,137.8,13.12,3
38:09.6,410.617,799.498,39.403,1.102,6.56,143.3,13.47,3
38:09.6,410.154,799.511,39.405,1.102,6.56,143.3,13.47,3
38:09.7,409.084,799.501,39.397,1.026,6.56,143.3,13.47,3
38:09.7,408.62,799.492,39.411,1.026,6.56,143.3,13.47,3
38:09.8,407.282,799.494,39.401,0.95,6.56,143.3,13.47,3
38:09.8,406.88,799.495,39.405,0.95,6.7,142.4,13.37,3
38:09.9,405.271,799.509,39.394,0.937,6.7,142.4,13.37,3
38:10.0,404.869,799.51,39.398,0.937,6.7,142.4,13.37,3
38:10.0,403.612,799.49,39.402,0.951,6.7,142.4,13.37,3
38:10.1,403.207,799.488,39.403,0.951,6.7,142.4,13.37,3
38:10.1,401.94,799.495,39.399,0.961,6.76,143.7,13.03,3
38:10.2,401.536,799.493,39.399,0.961,6.76,143.7,13.03,3
38:10.2,400.29,799.502,39.395,0.477,6.76,143.7,13.03,3
38:10.3,400.09,799.495,39.405,0.477,6.76,143.7,13.03,3
38:10.3,400.002,799.496,39.394,0.0,6.76,143.7,13.03,3
38:10.4,400.002,799.496,39.394,0.0,6.24,134.8,12.98,3
38:10.4,400.002,799.496,39.394,0.0,6.24,134.8,12.98,3
38:10.5,400.002,799.496,39.394,0.0,6.24,134.8,12.98,3
38:10.5,400.002,799.496,39.394,0.0,6.24,134.8,12.98,3
38:10.6,400.002,799.496,39.394,0.0,6.24,134.8,12.98,3
38:10.6,400.002,799.496,39.394,0.0,5.66,126.5,12.99,3
38:10.7,400.002,799.496,39.394,0.0,5.66,126.5,12.99,3
38:10.7,400.002,799.496,39.394,0.0,5.66,126.5,12.99,3
38:10.8,400.002,799.496,39.394,0.0,5.66,126.5,12.99,3
38:28.6,400.017,799.504,41.403,0.208,1.49,0.0,0.04,4
