time, x, y, z, speed, ArcOn, WFS, I, U, tool, frame, dz, speedOverride
37:01.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.9,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:01.9,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.4,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.5,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.5,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.9,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:02.9,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
