X,Y,Z,layer_id_2MethodKmean7
1865.74,353.484,-38.9046,1
1865.74,353.541,-38.9031,1
1865.75,353.597,-38.9104,1
1865.75,353.653,-38.9177,1
1865.74,353.71,-38.9318,1
1865.74,353.765,-38.9624,1
1865.73,353.821,-39.0075,1
1865.74,353.878,-38.9682,1
1865.74,353.935,-38.9668,1
1865.74,353.991,-38.9896,1
1865.74,354.047,-38.9804,1
1865.74,354.103,-39.0032,1
1865.72,354.157,-39.1037,1
1865.71,354.212,-39.1411,1
1865.71,354.269,-39.1561,1
1865.69,354.323,-39.2324,1
1865.69,354.379,-39.2552,1
1865.69,354.436,-39.2625,1
1865.68,354.491,-39.2999,1
1865.67,354.548,-39.3227,1
1865.66,354.603,-39.3843,1
1865.65,354.658,-39.414,1
1865.63,354.712,-39.5309,1
1865.61,354.766,-39.6237,1
1865.6,354.822,-39.662,1
1865.57,354.876,-39.7625,1
1865.56,354.932,-39.8086,1
1865.55,354.987,-39.8868,1
1865.54,355.042,-39.9329,1
1865.51,355.097,-40.0343,1
1865.48,355.151,-40.1669,1
1865.45,355.204,-40.3081,0
1865.42,355.259,-40.4183,0
1865.39,355.313,-40.5595,0
1865.21,355.352,-41.2678,0
1864.2,351.164,-41.0108,0
1864.37,351.256,-40.3516,0
1864.43,351.326,-40.1131,1
1864.47,351.393,-39.9397,1
1864.53,351.459,-39.7419,1
1864.54,351.519,-39.6948,1
1864.55,351.577,-39.67,1
1864.6,351.643,-39.4888,1
1864.61,351.702,-39.4573,1
1864.63,351.763,-39.3548,1
1864.64,351.822,-39.3232,1
1864.65,351.88,-39.2984,1
1864.66,351.938,-39.2747,1
1864.68,351.999,-39.1954,1
1864.71,352.06,-39.1095,1
1864.72,352.118,-39.0614,1
1864.73,352.177,-39.0298,1
1864.73,352.234,-39.0294,1
1864.73,352.289,-39.0435,1
1864.75,352.348,-38.9886,1
1864.76,352.407,-38.9483,1
1864.77,352.465,-38.9167,1
1864.77,352.522,-38.9162,1
1864.78,352.578,-38.907,1
1864.78,352.636,-38.8832,1
1864.79,352.693,-38.875,1
1864.79,352.75,-38.858,1
1864.81,352.809,-38.8186,1
1864.82,352.868,-38.756,2
1864.83,352.925,-38.7477,2
1864.82,352.98,-38.7774,1
1864.82,353.036,-38.7915,1
1864.82,353.092,-38.8065,1
1864.82,353.148,-38.806,1
1864.82,353.206,-38.8123,1
1864.83,353.263,-38.773,1
1864.83,353.319,-38.7794,1
1864.83,353.375,-38.8099,1
1864.82,353.431,-38.8318,1
1864.83,353.488,-38.8235,1
1864.83,353.545,-38.8153,1
1864.82,353.599,-38.8605,1
1864.81,353.655,-38.8988,1
1864.82,353.712,-38.8974,1
