X,Y,Z,layer_id_5MethodGeometryBased,layer_id,proc_I,proc_U,proc_WFS,proc_speed,matched_layer_id
1822.27,355.062,-41.1393,1,1,139.37414829659352,13.18665831663323,6.323341683366772,0.6561122244489029,1
1822.29,354.95,-41.0287,1,1,139.42224448897824,13.181247494989947,6.328752505010053,0.6568336673346737,1
1822.29,355.006,-41.0679,1,1,139.42224448897824,13.181247494989947,6.328752505010053,0.6568336673346737,1
1822.29,352.034,-40.6425,1,1,139.42224448897824,13.181247494989947,6.328752505010053,0.6568336673346737,1
1822.3,352.092,-40.6099,1,1,139.4462925851706,13.178542084168306,6.331457915831694,0.6571943887775592,1
1822.31,352.15,-40.5851,1,1,139.47034068136296,13.175836673346666,6.334163326653335,0.6575551102204447,1
1822.32,354.896,-40.9097,1,1,139.49438877755532,13.173131262525025,6.336868737474975,0.65791583166333,1
1822.33,354.84,-40.8549,1,1,139.51843687374767,13.170425851703385,6.339574148296616,0.6582765531062155,1
1822.33,352.211,-40.5293,1,1,139.51843687374767,13.170425851703385,6.339574148296616,0.6582765531062155,1
1822.34,354.784,-40.8078,1,1,139.54248496994006,13.167720440881745,6.342279559118257,0.6586372745491009,1
1822.35,352.272,-40.4559,1,1,139.56653306613242,13.165015030060102,6.3449849699398975,0.6589979959919863,1
1822.36,352.331,-40.4234,1,1,139.59058116232478,13.162309619238462,6.347690380761538,0.6593587174348717,1
1822.36,354.728,-40.753,1,1,139.59058116232478,13.162309619238462,6.347690380761538,0.6593587174348717,1
1822.37,352.391,-40.3675,1,1,139.61462925851714,13.159604208416821,6.350395791583179,0.6597194388777572,1
1822.38,352.45,-40.3271,1,1,139.63867735471004,13.156898797595119,6.353101202404881,0.6600801603206508,1
1822.39,354.675,-40.6262,1,1,139.6627254509024,13.154193386773478,6.355806613226521,0.6604408817635362,1
1822.39,352.508,-40.3024,1,1,139.6627254509024,13.154193386773478,6.355806613226521,0.6604408817635362,1
1822.4,354.562,-40.5564,1,1,139.68677354709476,13.151487975951838,6.358512024048163,0.6608016032064217,1
1822.4,354.619,-40.5792,1,1,139.68677354709476,13.151487975951838,6.358512024048163,0.6608016032064217,1
1822.4,352.567,-40.2776,1,1,139.68677354709476,13.151487975951838,6.358512024048163,0.6608016032064217,1
1822.4,354.506,-40.5326,1,1,139.68677354709476,13.151487975951838,6.358512024048163,0.6608016032064217,1
1822.4,353.136,-40.3397,1,1,139.68677354709476,13.151487975951838,6.358512024048163,0.6608016032064217,1
1822.41,354.449,-40.502,1,1,139.7,13.15,6.36,0.661,1
1822.41,352.625,-40.2683,1,1,139.7,13.15,6.36,0.661,1
1822.41,352.682,-40.2679,1,1,139.7,13.15,6.36,0.661,1
1822.42,354.394,-40.4394,1,1,139.7,13.15,6.36,0.661,1
1822.43,352.801,-40.1785,1,1,139.7,13.15,6.36,0.661,1
1822.43,352.742,-40.2033,1,1,139.7,13.15,6.36,0.661,1
1822.43,354.338,-40.4088,1,1,139.7,13.15,6.36,0.661,1
1822.43,353.084,-40.2216,1,1,139.7,13.15,6.36,0.661,1
1822.44,352.915,-40.1775,1,1,139.7,13.15,6.36,0.661,1
1822.44,354.283,-40.3384,1,1,139.7,13.15,6.36,0.661,1
1822.44,352.973,-40.176,1,1,139.7,13.15,6.36,0.661,1
1822.44,353.029,-40.1911,1,1,139.7,13.15,6.36,0.661,1
1822.44,352.858,-40.1702,1,1,139.7,13.15,6.36,0.661,1
1822.45,354.227,-40.2913,1,1,139.7,13.15,6.36,0.661,1
1822.45,353.315,-40.1866,1,1,139.7,13.15,6.36,0.661,1
1822.46,353.374,-40.1541,1,1,139.7,13.15,6.36,0.661,1
1822.46,354.114,-40.2535,1,1,139.7,13.15,6.36,0.661,1
1822.46,354.171,-40.2608,1,1,139.7,13.15,6.36,0.661,1
1822.46,354.057,-40.2462,1,1,139.7,13.15,6.36,0.661,1
1822.47,353.717,-40.157,1,1,139.7,13.15,6.36,0.661,1
1822.47,353.659,-40.1652,1,1,139.7,13.15,6.36,0.661,1
1822.47,353.945,-40.1773,1,1,139.7,13.15,6.36,0.661,1
1822.47,353.489,-40.1366,1,1,139.7,13.15,6.36,0.661,1
1822.47,354.001,-40.2001,1,1,139.7,13.15,6.36,0.661,1
1822.47,353.603,-40.1589,1,1,139.7,13.15,6.36,0.661,1
1822.47,353.432,-40.1371,1,1,139.7,13.15,6.36,0.661,1
1822.47,353.546,-40.1438,1,1,139.7,13.15,6.36,0.661,1
1822.48,353.774,-40.1477,1,1,139.7,13.15,6.36,0.661,1
1822.48,353.889,-40.1622,1,1,139.7,13.15,6.36,0.661,1
1822.48,353.831,-40.1472,1,1,139.7,13.15,6.36,0.661,1
1822.95,351.334,-41.6459,1,1,139.7,13.15,6.36,0.6291315789473527,1
1823.01,351.404,-41.4035,1,1,139.7,13.15,6.36,0.6217631578947275,1
1823.06,351.472,-41.2097,1,1,139.7,13.15,6.36,0.6156228070175398,1
1823.1,355.439,-41.6067,1,1,139.7,13.15,6.36,0.6107105263157897,1
1823.11,355.383,-41.5509,1,1,139.7,13.15,6.36,0.6094824561403521,1
1823.12,351.542,-40.9925,1,1,139.7,13.15,6.36,0.6082543859649145,1
1823.16,351.606,-40.855,1,1,139.7,13.15,6.36,0.6033421052631365,1
1823.16,355.33,-41.3582,1,1,139.7,13.15,6.36,0.6033421052631365,1
1823.18,355.275,-41.2703,1,1,139.7,13.15,6.36,0.6008859649122614,1
1823.19,351.67,-40.7272,1,1,139.7,13.15,6.36,0.5996578947368238,1
1823.22,355.221,-41.1106,1,1,139.7,13.15,6.36,0.5959736842105113,1
1823.22,351.735,-40.5984,1,1,139.7,13.15,6.36,0.5959736842105113,1
1823.23,355.167,-41.0315,1,1,139.7,13.15,6.36,0.5947456140350738,1
1823.24,351.795,-40.5503,1,1,139.7,13.15,6.36,0.5935175438596362,1
1823.27,351.859,-40.4294,1,1,139.7,13.15,6.36,0.5898333333333237,1
1823.28,355.114,-40.8485,1,1,139.7,13.15,6.36,0.5886052631578861,1
1823.29,351.919,-40.3657,1,1,139.7,13.15,6.36,0.5873771929824485,1
1823.3,355.059,-40.7616,1,1,139.7,13.15,6.36,0.586149122807011,1
1823.31,351.979,-40.3011,1,1,139.7,13.15,6.36,0.5849210526315735,1
1823.32,355.004,-40.667,1,1,139.7,13.15,6.36,0.5836929824561359,1
1823.33,352.041,-40.2132,1,1,139.7,13.15,6.36,0.5824649122806984,1
1823.34,354.95,-40.5723,1,1,139.7,13.15,6.36,0.5812368421052608,1
1823.34,352.1,-40.1884,1,1,139.7,13.15,6.36,0.5812368421052608,1
1823.35,354.894,-40.5252,1,1,139.7,13.15,6.36,0.5800087719298234,1
1823.36,352.16,-40.1247,1,1,139.7,13.15,6.36,0.5787807017543858,1
1823.36,354.838,-40.4791,1,1,139.7,13.15,6.36,0.5787807017543858,1
1823.37,352.219,-40.0835,1,1,139.7,13.15,6.36,0.5775526315789482,1
1823.38,352.279,-40.0431,1,1,139.7,13.15,6.36,0.577,1
1823.39,354.785,-40.3447,1,1,139.7,13.15,6.36,0.577,1
1823.4,354.729,-40.2976,1,1,139.7,13.15,6.36,0.577,1
1823.41,352.34,-39.9639,1,1,139.7,13.15,6.36,0.577,1
1823.41,354.672,-40.2748,1,1,139.7,13.15,6.36,0.577,1
1823.42,354.617,-40.2044,1,1,139.7,13.15,6.36,0.577,1
1823.42,352.398,-39.9236,1,1,139.7,13.15,6.36,0.577,1
1823.43,354.562,-40.1505,1,1,139.7,13.15,6.36,0.577,1
1823.43,352.458,-39.8678,1,1,139.7,13.15,6.36,0.577,1
1823.44,352.517,-39.843,1,1,139.7,13.15,6.36,0.577,1
1823.45,354.508,-40.0801,1,1,139.7,13.15,6.36,0.577,1
1823.45,352.576,-39.8026,1,1,139.7,13.15,6.36,0.577,1
1823.46,352.634,-39.7701,1,1,139.7,13.15,6.36,0.577,1
1823.46,354.451,-40.0418,1,1,139.7,13.15,6.36,0.577,1
1823.46,354.395,-40.0267,1,1,139.7,13.15,6.36,0.577,1
1823.46,354.338,-40.0039,1,1,139.7,13.15,6.36,0.577,1
1823.48,352.751,-39.7215,1,1,139.7,13.15,6.36,0.577,1
1823.48,352.808,-39.7123,1,1,139.7,13.15,6.36,0.577,1
1823.48,352.693,-39.7298,1,1,139.7,13.15,6.36,0.577,1
1823.49,354.285,-39.9102,1,1,139.7,13.15,6.36,0.577,1
1823.49,354.228,-39.8709,1,1,139.7,13.15,6.36,0.577,1
1823.5,354.172,-39.8491,1,1,139.7,13.15,6.36,0.577,1
1823.5,352.868,-39.6564,1,1,139.7,13.15,6.36,0.577,1
1823.51,354.117,-39.802,1,1,139.7,13.15,6.36,0.577,1
1823.51,354.061,-39.7714,1,1,139.7,13.15,6.36,0.577,1
1823.51,354.004,-39.7728,1,1,139.7,13.15,6.36,0.577,1
1823.51,353.946,-39.7656,1,1,139.7,13.15,6.36,0.577,1
1823.51,352.926,-39.6316,1,1,139.7,13.15,6.36,0.577,1
1823.51,352.984,-39.6234,1,1,139.7,13.15,6.36,0.577,1
1823.52,353.324,-39.6418,1,1,139.7,13.15,6.36,0.577,1
1823.52,353.608,-39.6685,1,1,139.7,13.15,6.36,0.577,1
1823.52,353.268,-39.6268,1,1,139.7,13.15,6.36,0.577,1
1823.52,353.835,-39.6966,1,1,139.7,13.15,6.36,0.577,1
1823.52,353.892,-39.7039,1,1,139.7,13.15,6.36,0.577,1
1823.52,353.041,-39.6064,1,1,139.7,13.15,6.36,0.577,1
1823.53,353.553,-39.6301,1,1,139.7,13.15,6.36,0.577,1
1823.53,353.382,-39.6248,1,1,139.7,13.15,6.36,0.577,1
1823.53,353.665,-39.668,1,1,139.7,13.15,6.36,0.577,1
1823.53,353.212,-39.604,1,1,139.7,13.15,6.36,0.577,1
1823.53,353.156,-39.5656,1,1,139.7,13.15,6.36,0.577,1
1823.53,353.779,-39.6738,1,1,139.7,13.15,6.36,0.577,1
1823.53,353.098,-39.5903,1,1,139.7,13.15,6.36,0.577,1
1823.53,353.496,-39.6151,1,1,139.7,13.15,6.36,0.577,1
1823.53,353.723,-39.6588,1,1,139.7,13.15,6.36,0.577,1
1823.54,353.441,-39.5845,1,1,139.7,13.15,6.36,0.577,1
1824.02,351.394,-41.6184,1,1,139.7,13.15,6.36,0.5732467105263155,1
1824.12,351.472,-41.2234,1,1,139.7,13.15,6.36,0.5723256578947373,1
1824.14,355.265,-41.6472,1,1,139.7,13.15,6.36,0.5721414473684197,1
1824.2,355.213,-41.4138,1,1,139.7,13.15,6.36,0.5715888157894727,1
1824.22,351.549,-40.8615,1,1,139.7,13.15,6.36,0.5714046052631571,1
1824.26,351.616,-40.6851,1,1,139.7,13.15,6.36,0.5710361842105258,1
1824.29,351.679,-40.5972,1,1,139.7,13.15,6.36,0.5707598684210524,1
1824.3,355.167,-41.0375,1,1,139.7,13.15,6.36,0.5706677631578946,1
1824.33,351.745,-40.4295,1,1,139.7,13.15,6.36,0.5703914473684212,1
1824.34,355.115,-40.838,1,1,139.7,13.15,6.36,0.5702993421052633,1
1824.35,351.805,-40.3727,1,1,139.7,13.15,6.36,0.5702072368421055,1
1824.36,351.865,-40.3246,1,1,139.7,13.15,6.36,0.5701151315789478,1
1824.39,355.063,-40.656,1,1,139.48395061728198,13.13847736625504,6.314629629629217,0.57,1
1824.4,355.008,-40.5846,1,1,139.3604938271586,13.131893004115126,6.288703703703309,0.57,1
1824.4,351.93,-40.1813,1,1,139.3604938271586,13.131893004115126,6.288703703703309,0.57,1
1824.42,351.99,-40.1244,1,1,139.11358024691185,13.1187242798353,6.23685185185149,0.57,1
1824.42,354.952,-40.5307,1,1,139.11358024691185,13.1187242798353,6.23685185185149,0.57,1
1824.43,352.048,-40.0841,1,1,138.99012345678847,13.112139917695385,6.210925925925582,0.57,1
1824.45,352.11,-40.0049,1,1,138.74320987654173,13.09897119341556,6.1590740740737635,0.57,1
1824.45,354.899,-40.3797,1,1,138.74320987654173,13.09897119341556,6.1590740740737635,0.57,1
1824.47,354.844,-40.3094,1,1,138.49629629629496,13.085802469135732,6.107222222221946,0.57,1
1824.47,352.171,-39.917,1,1,138.49629629629496,13.085802469135732,6.107222222221946,0.57,1
1824.48,354.789,-40.2477,1,1,138.3728395061716,13.07921810699582,6.081296296296037,0.57,1
1824.49,352.231,-39.8611,1,1,138.24938271604822,13.072633744855906,6.055370370370128,0.57,1
1824.5,352.291,-39.8208,1,1,138.12592592592483,13.066049382715992,6.029444444444219,0.57,1
1824.51,352.349,-39.796,1,1,138.00246913580148,13.059465020576079,6.003518518518311,0.57,1
1824.51,354.735,-40.122,1,1,138.00246913580148,13.059465020576079,6.003518518518311,0.57,1
1824.52,354.68,-40.0671,1,1,137.8790123456781,13.052880658436166,5.977592592592401,0.57,1
1824.52,352.406,-39.779,1,1,137.8790123456781,13.052880658436166,5.977592592592401,0.57,1
